statistic,player,team,value,year
2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014 A.L. History | 2014 N.L. History | Year-by-Year History,2014
2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014
East,Team | Roster,W,L,2014
East,Baltimore Orioles,96,66,2014
East,New York Yankees,84,78,2014
East,Toronto Blue Jays,83,79,2014
East,Tampa Bay Rays,77,85,2014
East,Boston Red Sox,71,91,2014
Central,Team | Roster,W,L,2014
Central,Detroit Tigers,90,72,2014
Central,Kansas City Royals,89,73,2014
Central,Cleveland Indians,85,77,2014
Central,Chicago White Sox,73,89,2014
Central,Minnesota Twins,70,92,2014
West,Team | Roster,W,L,2014
West,Los Angeles Angels,98,64,2014
West,Oakland Athletics,88,74,2014
West,Seattle Mariners,87,75,2014
West,Houston Astros,70,92,2014
West,Texas Rangers,67,95,2014
A.L.,Team | Roster,W,L,2014
2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014
2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015 American League Player Review ← 2014 | 2015 Hitting Statistics League Leaders | 2016 →,2015
Statistic,Name,Team,#,2015
Base on Balls,Jose Bautista,Toronto,110,2015
Batting Average,Miguel Cabrera,Detroit,.338,2015
Doubles,Michael Brantley,Cleveland,45,2015
Hits,Jose Altuve,Houston,200,2015
Home Runs,Chris Davis,Baltimore,47,2015
On Base Percentage,Miguel Cabrera,Detroit,.440,2015
RBI,Josh Donaldson,Toronto,123,2015
Runs,Josh Donaldson,Toronto,122,2015
Slugging Average,Mike Trout,Los Angeles,.590,2015
Stolen Bases,Jose Altuve,Houston,38,2015
Total Bases,Josh Donaldson,Toronto,352,2015
Triples,Eddie Rosario,Minnesota,15,2015
Statistic,Name,Team,#,2015
2015 American League Pitcher Review ← 2014 | 2015 Pitching Statistics League Leaders | 2016 →,2015 American League Pitcher Review ← 2014 | 2015 Pitching Statistics League Leaders | 2016 →,2015 American League Pitcher Review ← 2014 | 2015 Pitching Statistics League Leaders | 2016 →,2015 American League Pitcher Review ← 2014 | 2015 Pitching Statistics League Leaders | 2016 →,2015
Statistic,Name,Team,#,2015
Complete Games,Mark Buehrle,Toronto,4,2015
Complete Games,Corey Kluber,Cleveland,4,2015
ERA,David Price,Detroit,2.45,2015
ERA,David Price,Toronto,2.45,2015
Games,Kevin Jepsen,Tampa Bay,75,2015
Games,Kevin Jepsen,Minnesota,75,2015
Saves,Brad Boxberger,Tampa Bay,41,2015
Shutouts,Sonny Gray,Oakland,2,2015
Shutouts,Felix Hernandez,Seattle,2,2015
Shutouts,Dallas Keuchel,Houston,2,2015
Shutouts,Mike Montgomery,Seattle,2,2015
Shutouts,Jeff Samardzija,Chicago,2,2015
Strikeouts,Chris Sale,Chicago,274,2015
Winning Percentage,David Price,Detroit,.783,2015
Winning Percentage,David Price,Toronto,.783,2015
Wins,Dallas Keuchel,Houston,20,2015
Statistic,Name,Team,#,2015
2015 American League  Team Standings,2015 American League  Team Standings,2015 American League  Team Standings,2015 American League  Team Standings,2015
East,Team [Click for roster],Wins,Losses,2015
East,Toronto Blue Jays,93,69,2015
East,New York Yankees,87,75,2015
East,Baltimore Orioles,81,81,2015
East,Tampa Bay Rays,80,82,2015
East,Boston Red Sox,78,84,2015
Central,Team [Click for roster],Wins,Losses,2015
Central,Kansas City Royals,95,67,2015
Central,Minnesota Twins,83,79,2015
Central,Cleveland Indians,81,80,2015
Central,Chicago White Sox,76,86,2015
Central,Detroit Tigers,74,87,2015
West,Team [Click for roster],Wins,Losses,2015
West,Texas Rangers,88,74,2015
West,Houston Astros,86,76,2015
West,Los Angeles Angels,85,77,2015
West,Seattle Mariners,76,86,2015
West,Oakland Athletics,68,94,2015
2015 American League Final Standings,2015 American League Final Standings,2015 American League Final Standings,2015 American League Final Standings,2015
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,2015
2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016 American League Player Review ← 2015 | 2016 Hitting Statistics League Leaders | 2017 →,2016
Statistic,Name,Team,#,2016
Base on Balls,Mike Trout,Los Angeles,116,2016
Batting Average,Jose Altuve,Houston,.338,2016
Doubles,David Ortiz,Boston,48,2016
Hits,Jose Altuve,Houston,216,2016
Home Runs,Mark Trumbo,Baltimore,47,2016
On Base Percentage,Mike Trout,Los Angeles,.441,2016
RBI,Edwin Encarnacion,Toronto,127,2016
RBI,David Ortiz,Boston,127,2016
Runs,Mike Trout,Los Angeles,123,2016
Slugging Average,David Ortiz,Boston,.620,2016
Stolen Bases,Rajai Davis,Cleveland,43,2016
Total Bases,Mookie Betts,Boston,359,2016
Triples,Adam Eaton,Chicago,9,2016
Statistic,Name,Team,#,2016
2016 American League Pitcher Review ← 2015 | 2016 Pitching Statistics League Leaders | 2017 →,2016 American League Pitcher Review ← 2015 | 2016 Pitching Statistics League Leaders | 2017 →,2016 American League Pitcher Review ← 2015 | 2016 Pitching Statistics League Leaders | 2017 →,2016 American League Pitcher Review ← 2015 | 2016 Pitching Statistics League Leaders | 2017 →,2016
Statistic,Name,Team,#,2016
Complete Games,Chris Sale,Chicago,6,2016
ERA,Aaron Sanchez,Toronto,3.00,2016
Games,Bryan Shaw,Cleveland,75,2016
Saves,Zach Britton,Baltimore,47,2016
Shutouts,Corey Kluber,Cleveland,2,2016
Strikeouts,Justin Verlander,Detroit,254,2016
Winning Percentage,Aaron Sanchez,Toronto,.882,2016
Wins,Rick Porcello,Boston,22,2016
Statistic,Name,Team,#,2016
2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016 American League Team Standings,2016
East,Team [Click for roster],Wins,Losses,2016
East,Boston Red Sox,93,69,2016
East,Baltimore Orioles,89,73,2016
East,Toronto Blue Jays,89,73,2016
East,New York Yankees,84,78,2016
East,Tampa Bay Rays,68,94,2016
Central,Team [Click for roster],Wins,Losses,2016
Central,Cleveland Indians,94,67,2016
Central,Detroit Tigers,86,75,2016
Central,Kansas City Royals,81,81,2016
Central,Chicago White Sox,78,84,2016
Central,Minnesota Twins,59,103,2016
West,Team [Click for roster],Wins,Losses,2016
West,Texas Rangers,95,67,2016
West,Seattle Mariners,86,76,2016
West,Houston Astros,84,78,2016
West,Los Angeles Angels,74,88,2016
West,Oakland Athletics,69,93,2016
2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016 American League Final Standings,2016
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,2016
2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017 American League Player Review ← 2016 | 2017 Hitting Statistics League Leaders | 2018 →,2017
Statistic,Name,Team,#,2017
Base on Balls,Aaron Judge,New York Yankees,127,2017
Batting Average,Jose Altuve,Houston Astros,.346,2017
Doubles,Jose Ramirez,Cleveland Indians,56,2017
Hits,Jose Altuve,Houston Astros,204,2017
Home Runs,Aaron Judge,New York Yankees,52,2017
On Base Percentage,Mike Trout,Los Angeles Angels,.442,2017
RBI,Nelson Cruz,Seattle Mariners,119,2017
Runs,Aaron Judge,New York Yankees,128,2017
Slugging Average,Mike Trout,Los Angeles Angels,.629,2017
Stolen Bases,Whit Merrifield,Kansas City Royals,34,2017
Total Bases,Jose Abreu,Chicago White Sox,343,2017
Triples,Nick Castellanos,Detroit Tigers,10,2017
Statistic,Name,Team,#,2017
2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017
2017 American League Pitcher Review ← 2016 | 2017 Pitching Statistics League Leaders | 2018 →,2017 American League Pitcher Review ← 2016 | 2017 Pitching Statistics League Leaders | 2018 →,2017 American League Pitcher Review ← 2016 | 2017 Pitching Statistics League Leaders | 2018 →,2017 American League Pitcher Review ← 2016 | 2017 Pitching Statistics League Leaders | 2018 →,2017
Statistic,Name,Team,#,2017
Complete Games,Corey Kluber,Cleveland Indians,5,2017
Complete Games,Ervin Santana,Minnesota Twins,5,2017
ERA,Corey Kluber,Cleveland Indians,2.25,2017
Games,Bryan Shaw,Cleveland Indians,79,2017
Saves,Alex Colome,Tampa Bay Rays,46,2017
Shutouts,Corey Kluber,Cleveland Indians,3,2017
Shutouts,Ervin Santana,Minnesota Twins,3,2017
Strikeouts,Chris Sale,Boston Red Sox,308,2017
Winning Percentage,Corey Kluber,Cleveland Indians,.818,2017
Wins,Carlos Carrasco,Cleveland Indians,18,2017
Wins,Corey Kluber,Cleveland Indians,18,2017
Wins,Jason Vargas,Kansas City Royals,18,2017
Statistic,Name,Team,#,2017
2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017 A.L. History | 2017 N.L. History | Year-by-Year History,2017
2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017 American League Team Standings 2017 All-Star Game | 2017 Team Standings | 2017 World Series,2017
East,Team | Roster,Wins,Losses,2017
East,Boston Red Sox,93,69,2017
East,New York Yankees,91,71,2017
East,Tampa Bay Rays,80,82,2017
East,Toronto Blue Jays,76,86,2017
East,Baltimore Orioles,75,87,2017
Central,Team | Roster,Wins,Losses,2017
Central,Cleveland Indians,102,60,2017
Central,Minnesota Twins,85,77,2017
Central,Kansas City Royals,80,82,2017
Central,Chicago White Sox,67,95,2017
Central,Detroit Tigers,64,98,2017
West,Team | Roster,Wins,Losses,2017
West,Houston Astros,101,61,2017
West,Los Angeles Angels,80,82,2017
West,Seattle Mariners,78,84,2017
West,Texas Rangers,78,84,2017
West,Oakland Athletics,75,87,2017
A.L.,Team | Roster,Wins,Losses,2017
2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017 American League Final Standings,2017
2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018 American League Player Review ← 2017 | 2018 Hitting Statistics League Leaders | 2019 →,2018
Statistic,Name,Team,#,2018
Base on Balls,Mike Trout,Los Angeles Angels,122,2018
Batting Average,Mookie Betts,Boston Red Sox,.346,2018
Doubles,Alex Bregman,Houston Astros,50,2018
Hits,Whit Merrifield,Kansas City Royals,192,2018
Home Runs,Khris Davis,Oakland Athletics,48,2018
On Base Percentage,Mike Trout,Los Angeles Angels,.460,2018
RBI,J.D. Martinez,Boston Red Sox,130,2018
Runs,Mookie Betts,Boston Red Sox,129,2018
Slugging Average,Mookie Betts,Boston Red Sox,.640,2018
Stolen Bases,Whit Merrifield,Kansas City Royals,45,2018
Total Bases,J.D. Martinez,Boston Red Sox,358,2018
Triples,Yolmer Sanchez,Chicago White Sox,10,2018
Triples,Mallex Smith,Tampa Bay Rays,10,2018
Statistic,Name,Team,#,2018
2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018
2018 American League Pitcher Review ← 2017 | 2018 Pitching Statistics League Leaders | 2019 →,2018 American League Pitcher Review ← 2017 | 2018 Pitching Statistics League Leaders | 2019 →,2018 American League Pitcher Review ← 2017 | 2018 Pitching Statistics League Leaders | 2019 →,2018 American League Pitcher Review ← 2017 | 2018 Pitching Statistics League Leaders | 2019 →,2018
Statistic,Name,Team,#,2018
Complete Games,Jose Berrios,Minnesota Twins,2,2018
Complete Games,Carlos Carrasco,Cleveland Indians,2,2018
Complete Games,Corey Kluber,Cleveland Indians,2,2018
Complete Games,James Paxton,Seattle Mariners,2,2018
ERA,Blake Snell,Tampa Bay Rays,1.89,2018
Games,Ryan Pressly,Minnesota Twins,77,2018
Games,Ryan Pressly,Houston Astros,77,2018
Saves,Edwin Diaz,Seattle Mariners,57,2018
Shutouts,Jose Berrios,Minnesota Twins,1,2018
Shutouts,Mike Clevinger,Cleveland Indians,1,2018
Shutouts,Gerrit Cole,Houston Astros,1,2018
Shutouts,Andrew Heaney,Los Angeles Angels,1,2018
Shutouts,Corey Kluber,Cleveland Indians,1,2018
Shutouts,Sean Manaea,Oakland Athletics,1,2018
Shutouts,Daniel Mengden,Oakland Athletics,1,2018
Shutouts,James Paxton,Seattle Mariners,1,2018
Shutouts,Luis Severino,New York Yankees,1,2018
Shutouts,Masahiro Tanaka,New York Yankees,1,2018
Shutouts,Justin Verlander,Houston Astros,1,2018
Strikeouts,Justin Verlander,Houston Astros,290,2018
Winning Percentage,Charlie Morton,Houston Astros,.833,2018
Wins,Blake Snell,Tampa Bay Rays,21,2018
Statistic,Name,Team,#,2018
2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018 A.L. History | 2018 N.L. History | Year-by-Year History,2018
2018 American League Team Standings 2018 All-Star Game | 2018 Team Standings | 2018 World Series,2018 American League Team Standings 2018 All-Star Game | 2018 Team Standings | 2018 World Series,2018 American League Team Standings 2018 All-Star Game | 2018 Team Standings | 2018 World Series,2018 American League Team Standings 2018 All-Star Game | 2018 Team Standings | 2018 World Series,2018
East,Team | Roster,Wins,Losses,2018
East,Boston Red Sox,108,54,2018
East,New York Yankees,100,62,2018
East,Tampa Bay Rays,90,72,2018
East,Toronto Blue Jays,73,89,2018
East,Baltimore Orioles,47,115,2018
Central,Team | Roster,Wins,Losses,2018
Central,Cleveland Indians,91,71,2018
Central,Minnesota Twins,78,84,2018
Central,Detroit Tigers,64,98,2018
Central,Chicago White Sox,62,100,2018
Central,Kansas City Royals,58,104,2018
West,Team | Roster,Wins,Losses,2018
West,Houston Astros,103,59,2018
West,Oakland Athletics,97,65,2018
West,Seattle Mariners,89,73,2018
West,Los Angeles Angels,80,82,2018
West,Texas Rangers,67,95,2018
A.L.,Team | Roster,Wins,Losses,2018
2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018 American League Final Standings,2018
2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019 American League Player Review ← 2018 | 2019 Hitting Statistics League Leaders | 2020 →,2019
Statistic,Name,Team,#,2019
Base on Balls,Alex Bregman,Houston Astros,119,2019
Batting Average,Tim Anderson,Chicago White Sox,.335,2019
Doubles,Rafael Devers,Boston Red Sox,54,2019
Hits,Whit Merrifield,Kansas City Royals,206,2019
Home Runs,Jorge Soler,Kansas City Royals,48,2019
On Base Percentage,Mike Trout,Los Angeles Angels,.438,2019
RBI,Jose Abreu,Chicago White Sox,123,2019
Runs,Mookie Betts,Boston Red Sox,135,2019
Slugging Average,Mike Trout,Los Angeles Angels,.645,2019
Stolen Bases,Mallex Smith,Tampa Bay Rays,46,2019
Total Bases,Rafael Devers,Boston Red Sox,359,2019
Triples,Hunter Dozier,Kansas City Royals,10,2019
Triples,Whit Merrifield,Kansas City Royals,10,2019
Triples,Adalberto Mondesi,Kansas City Royals,10,2019
Statistic,Name,Team,#,2019
2019 American League Pitcher Review ← 2018 | 2019 Pitching Statistics League Leaders | 2020 →,2019 American League Pitcher Review ← 2018 | 2019 Pitching Statistics League Leaders | 2020 →,2019 American League Pitcher Review ← 2018 | 2019 Pitching Statistics League Leaders | 2020 →,2019 American League Pitcher Review ← 2018 | 2019 Pitching Statistics League Leaders | 2020 →,2019
Statistic,Name,Team,#,2019
Complete Games,Shane Bieber,Cleveland Indians,3,2019
Complete Games,Lucas Giolito,Chicago White Sox,3,2019
ERA,Gerrit Cole,Houston Astros,2.50,2019
Games,Yusmeiro Petit,Oakland Athletics,80,2019
Saves,Roberto Osuna,Houston Astros,38,2019
Shutouts,Shane Bieber,Cleveland Indians,2,2019
Shutouts,Lucas Giolito,Chicago White Sox,2,2019
Strikeouts,Gerrit Cole,Houston Astros,326,2019
Winning Percentage,Gerrit Cole,Houston Astros,.800,2019
Wins,Justin Verlander,Houston Astros,21,2019
Statistic,Name,Team,#,2019
2019 American League Team Standings,2019 American League Team Standings,2019 American League Team Standings,2019 American League Team Standings,2019
East,Team [Click for roster],Wins,Losses,2019
East,New York Yankees,103,59,2019
East,Tampa Bay Rays,96,66,2019
East,Boston Red Sox,84,78,2019
East,Toronto Blue Jays,67,95,2019
East,Baltimore Orioles,54,108,2019
Central,Team [Click for roster],Wins,Losses,2019
Central,Minnesota Twins,101,61,2019
Central,Cleveland Indians,93,69,2019
Central,Chicago White Sox,72,89,2019
Central,Kansas City Royals,59,103,2019
Central,Detroit Tigers,47,114,2019
West,Team [Click for roster],Wins,Losses,2019
West,Houston Astros,107,55,2019
West,Oakland Athletics,97,65,2019
West,Texas Rangers,78,84,2019
West,Los Angeles Angels,72,90,2019
West,Seattle Mariners,68,94,2019
2019 American League Standings,2019 American League Standings,2019 American League Standings,2019 American League Standings,2019
Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,Seasonal Events: All-Star Game | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Rookies List,2019
2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020 American League Player Review ← 2019 | 2020 Hitting Statistics League Leaders | 2021 →,2020
Statistic,Name,Team,#,2020
Base on Balls,Carlos Santana,Cleveland Indians,47,2020
Batting Average,DJ LeMahieu,New York Yankees,.364,2020
Doubles,Cesar Hernandez,Cleveland Indians,20,2020
Hits,Jose Abreu,Chicago White Sox,76,2020
Home Runs,Luke Voit,New York Yankees,22,2020
On Base Percentage,DJ LeMahieu,New York Yankees,.421,2020
RBI,Jose Abreu,Chicago White Sox,60,2020
Runs,Tim Anderson,Chicago White Sox,45,2020
Runs,Jose Ramirez,Cleveland Indians,45,2020
Slugging Average,Jose Abreu,Chicago White Sox,.617,2020
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24,2020
Total Bases,Jose Abreu,Chicago White Sox,148,2020
Triples,Kyle Tucker,Houston Astros,6,2020
Statistic,Name,Team,#,2020
2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020
2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020 American League Pitcher Review ← 2019 | 2020 Pitching Statistics League Leaders | 2021 →,2020
Statistic,Name,Team,#,2020
Complete Games,Gerrit Cole,New York Yankees,2,2020
ERA,Shane Bieber,Cleveland Indians,1.63,2020
Games,Scott Barlow,Kansas City Royals,32,2020
Saves,Brad Hand,Cleveland Indians,16,2020
Shutouts,Gerrit Cole,New York Yankees,1,2020
Shutouts,Kyle Gibson,Texas Rangers,1,2020
Shutouts,Lucas Giolito,Chicago White Sox,1,2020
Shutouts,Brad Keller,Kansas City Royals,1,2020
Shutouts,Mike Minor,Oakland Athletics,1,2020
Strikeouts,Shane Bieber,Cleveland Indians,122,2020
Winning Percentage,Shane Bieber,Cleveland Indians,.889,2020
Wins,Shane Bieber,Cleveland Indians,8,2020
Statistic,Name,Team,#,2020
2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020 A.L. History | 2020 N.L. History | Year-by-Year History,2020
2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020 American League Team Standings 2020 All-Star Game | 2020 Team Standings | 2020 World Series,2020
East,Team | Roster,W,L,2020
East,Tampa Bay Rays,40,20,2020
East,New York Yankees,33,27,2020
East,Toronto Blue Jays,32,28,2020
East,Baltimore Orioles,25,35,2020
East,Boston Red Sox,24,36,2020
Central,Team | Roster,W,L,2020
Central,Minnesota Twins,36,24,2020
Central,Chicago White Sox,35,25,2020
Central,Cleveland Indians,35,25,2020
Central,Kansas City Royals,26,34,2020
Central,Detroit Tigers,23,35,2020
West,Team | Roster,W,L,2020
West,Oakland Athletics,36,24,2020
West,Houston Astros,29,31,2020
West,Seattle Mariners,27,33,2020
West,Los Angeles Angels,26,34,2020
West,Texas Rangers,22,38,2020
A.L.,Team | Roster,W,L,2020
2020 American League Standings,2020 American League Standings,2020 American League Standings,2020 American League Standings,2020
2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021
Statistic,Name,Team,#,2021
Base on Balls,Joey Gallo,Texas Rangers,111,2021
Base on Balls,Joey Gallo,New York Yankees,111,2021
Batting Average,Yuli Gurriel,Houston Astros,.319,2021
Doubles,Jeimer Candelario,Detroit Tigers,42,2021
Doubles,J.D. Martinez,Boston Red Sox,42,2021
Doubles,Whit Merrifield,Kansas City Royals,42,2021
Hits,Bo Bichette,Toronto Blue Jays,191,2021
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48,2021
Home Runs,Salvador Perez,Kansas City Royals,48,2021
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,2021
RBI,Salvador Perez,Kansas City Royals,121,2021
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,2021
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,2021
Stolen Bases,Whit Merrifield,Kansas City Royals,40,2021
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,2021
Triples,Shohei Ohtani,Los Angeles Angels,8,2021
Statistic,Name,Team,#,2021
2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021
2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021 American League Pitcher Review ← 2020 | 2021 Pitching Statistics League Leaders | 2022 →,2021
Statistic,Name,Team,#,2021
Complete Games,Gerrit Cole,New York Yankees,2,2021
Complete Games,Sean Manaea,Oakland Athletics,2,2021
ERA,Robbie Ray,Toronto Blue Jays,2.84,2021
Games,Bryan Shaw,Cleveland Indians,81,2021
Saves,Liam Hendriks,Chicago White Sox,38,2021
Shutouts,Sean Manaea,Oakland Athletics,2,2021
Strikeouts,Robbie Ray,Toronto Blue Jays,248,2021
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722,2021
Wins,Gerrit Cole,New York Yankees,16,2021
Statistic,Name,Team,#,2021
2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021
2021 American League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 American League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 American League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021 American League Team Standings 2021 All-Star Game | 2021 Team Standings | 2021 World Series,2021
East,Team | Roster,W,L,2021
East,Tampa Bay Rays,100,62,2021
East,Boston Red Sox,92,70,2021
East,New York Yankees,92,70,2021
East,Toronto Blue Jays,91,71,2021
East,Baltimore Orioles,52,110,2021
Central,Team | Roster,W,L,2021
Central,Chicago White Sox,93,69,2021
Central,Cleveland Indians,80,82,2021
Central,Detroit Tigers,77,85,2021
Central,Kansas City Royals,74,88,2021
Central,Minnesota Twins,73,89,2021
West,Team | Roster,W,L,2021
West,Houston Astros,95,67,2021
West,Seattle Mariners,90,72,2021
West,Oakland Athletics,86,76,2021
West,Los Angeles Angels,77,85,2021
West,Texas Rangers,60,102,2021
A.L.,Team | Roster,W,L,2021
2021 American League Standings,2021 American League Standings,2021 American League Standings,2021 American League Standings,2021
2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022 American League Player Review ← 2021 | 2022 Hitting Statistics League Leaders | 2023 →,2022
Statistic,Name,Team,#,2022
Base on Balls,Aaron Judge,New York Yankees,111,2022
